Accession,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F42,OCwt1,OCwt1.1,OCwt2,OCwt2.1,OCwt3,OCwt3.1,OCwt4,OCwt4.1,OCwt5,OCwt5.1,OCwt6,OCwt6.1,OCwt7,OCwt7.1,OCwt8,OCwt8.1,OCwt9,OCwt9.1,OCwt10,OCwt10.1,OCvar1,OCvar1.1,OCvar2,OCvar2.1,OCvar3,OCvar3.1,OCvar4,OCvar4.1,OCvar5,OCvar5.1,OCvar6,OCvar6.1,OCvar7,OCvar7.1,OCvar8,OCvar8.1,OCvar9,OCvar9.1,OCvar10,OCvar10.1,iBAQ G.P 1,iBAQ G.P 2,iBAQ G.P 3,iBAQ G.P 4,iBAQ G.P 5,iBAQ G.P 6,iBAQ G.P 7,iBAQ G.P 8,iBAQ G.P 9,iBAQ G.P 10,iBAQ P.P 1,iBAQ P.P 2,iBAQ P.P 3,iBAQ P.P 4,iBAQ P.P 5,iBAQ P.P 6,iBAQ P.P 7,iBAQ P.P 8,iBAQ P.P 9,iBAQ P.P 10,BENIGN_1,BENIGN_2,BENIGN_3,BENIGN_5,BENIGN_7,BENIGN_8,MALIGNANT_2,MALIGNANT_4,MALIGNANT_5,MALIGNANT_6,MALIGNANT_7,MALIGNANT_8,HGSOC_SA01,HGSOC_SA02,HGSOC_SA04,HGSOC_SA05,HGSOC_SA06,HGSOC_SA09,HGSOC_SA10,HGSOC_SA11,HGSOC_SA15,HGSOC_SA16,HGSOC_SC01,HGSOC_SC02,HGSOC_SC04,HGSOC_SC06,HGSOC_SC08,HGSOC_SC10,HGSOC_SC15,HGSOC_SC16,HGSOC_SC17,HGSOC_SC22,HGSOC_SC24,HGSOC_SC27,HGSOC_SC28,HGSOC_SC30,HGSOC_SC33,HGSOC_SC34
P35858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101670000,61728000,62718000,40701000,63671000,28183000,25405000,63703000,58014000,26990000,17212000,53870000,55985000,15928000,29318000,62575000,36021000,25894000,37008000,95719000,,,,,,,,,,,,,"25,70075517","23,91212389","24,84757401","24,99024017","25,54852038","25,13916081","25,12631073","25,36800825","24,79044655","25,37749243","25,42326862","25,2774594","25,8101734","25,2705929","25,48392859","25,46901663","24,75306914","23,59113183","23,95117322","24,5595626","25,54753431","25,23270098","24,83299246","25,32261791","25,48816524","25,08338826"
P60709,,,,,,,,,,,,371914598,406567352,914520761,819533590,426473855,395088981,674276868,593774409,893297115,706705049,598218896,393397130,647278595,463466148,2427878713,1946598114,323922668,220078518,324862168,196102040,782193718,633619475,334246577,388264980,881257679,814153007,476033604,645183641,4834954869,3332609283,803914549,584308235,914969639,646725541,391769499,333329846,437443571,241186925,685856723,475574554,1005700,2420600,1039000,709670,132840,2809100,440860,2156200,410050,1448300,678590,1356800,889460,697560,146300,760230,1276800,0,448590,706580,,,,,,,,,,,,,"21,32364488","20,46535608","20,81299297","20,59349988","18,78264821","21,49903925","20,4136441","20,03056128","20,38114475","21,21829498","20,63717291","20,21790778","21,80612024","22,29175248","20,56123439","20,38614609","20,23984052","20,97963986","20,83512118","19,86404054","20,24357191","19,97840262","20,32691246","20,04085991","19,66728834","19,37265233"
Q08380,1181205799,"174504923,8",2135113686,"268530809,5","185124258,2","214932102,6","115535317,5","388631141,9","251369013,8","237473728,7","721978037,5",2380487957,2616481073,2193898987,2437760425,1215517167,1103562343,1194069559,1058841980,4202096736,3947493031,1565736208,861239455,2508765718,1879163773,6566780137,4928722944,3427414363,2632364800,2734095490,1709192990,2744667797,2603523076,2064372117,2844101485,3004056051,2974994914,3537201992,3476265487,1864743639,1796188028,2129213738,1772215969,3730968138,3198291364,1954333358,1434271453,1826558048,1364651899,2968209964,2164895422,18968000,29060000,45633000,21141000,7352400,14885000,23886000,16391000,13943000,18287000,60849000,27373000,21028000,24358000,26014000,21630000,52480000,24898000,27642000,33497000,,,,,,,,,,,,,"21,09802127","22,46252084","21,64861695","21,92570284","21,25712082","21,57383967","20,5063772","21,12132089","22,20547353","21,50270538","21,10570358","21,18184097","22,08365092","21,97784038","22,6877165","21,91697393","21,09784833","22,4952427","21,46073738","21,15407194","21,24340829","22,13088233","21,13281812","21,24700546","20,66145756","20,46402036"
Q14508,26252452,"2196243,5",16942304,4177528,"717316,4375","1402293,25","88111,19531",,"966426,6875","3240546,25",9473912,,,19175710,,2436665,,,,65216892,31706436,45660134,15116458,11842338,,,,223807436,105084004,22622258,,56068597,44744949,24634020,6588449,44395023,4292913,17337282,17264838,,,,,,,,,5375732,,66604696,47233204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,82904066","16,54990506",,,"15,76418029",,"16,96092521",,,,"15,39978014","18,12580259","17,55419108","15,44037713",,,,"17,63032995",,"18,78246935",,"16,74119731",,
Q8WXI7,,,,,,,,,,,,,12570173,13203358,17252295,2083643,33174536,3580718,29556931,383420046,493213729,91739927,30302792,14770130,5936471,3722461,2778145,18468634,17602176,2337577,,13087868,28405493,27936945,32795821,41124648,44365012,73295003,16631060,14887797,15887473,41336607,19991363,7333383,7815610,4633129,2978911,39312466,19326899,10320784,9756027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,70640132",,,,,,"15,16636199",,"17,57683904",,,,,"15,38417659",,,,"16,34324107",,"16,65434672",,
A0A024QZX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625650,243220,608820,278740,296100,225110,271400,0,515410,209050,423300,369230,369360,171590,123030,339190,69206,206240,0,81823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A024R571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211510,145970,38032,"7831,9",42567,82389,0,67201,79147,14016,0,26703,0,0,244020,200210,42076,22547,0,25383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8644,1",31811,105630,95618,43770,29879,43229,54914,43881,49192,62811,75398,124150,130070,17440,43376,"1865,5",654940,162750,143610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6H9,,,,,2997772,,18729352,,5109771,,,,,,,,,,,,,,,,,7027986,2677398,,,13457103,,,,,,,,,,,,,,24153802,24635350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I0,298754096,51723857,56849876,338939916,62999056,9235352,"625791865,8",161510096,8628226,33579723,16961938,78970992,141032766,395354016,358528744,134799664,165095404,13808125,29086256,14505520,44203899,,,283028112,252230372,325677164,246601856,37226264,48562956,138261248,118675792,28742470,61257176,14035175,20928104,8992543,5027018,57314419,79995778,,,263962252,196957754,89061777,65538471,88865124,92823563,207235012,199147800,135454688,92647259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,02436498",,,,,,,,,,,,,,,,
