Accession,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,HPwt1,HPwt1.1,HPwt2,HPwt2.1,HPwt3,HPwt3.1,HPwt4,HPwt4.1,HPwt5,HPwt5.1,HPwt6,HPwt6.1,HPwt7,HPwt7.1,HPwt8,HPwt8.1,HPwt9,HPwt9.1,HPwt10,HPwt10.1,HPvar1,HPvar1.1,HPvar2,HPvar2.1,HPvar3,HPvar3.1,HPvar4,HPvar4.1,HPvar5,HPvar5.1,HPvar6,HPvar6.1,HPvar7,HPvar7.1,HPvar8,HPvar8.1,HPvar9,HPvar9.1,HPvar10,HPvar10.1,HC_M195,HC_M197,HC_M198,HC_M203,HC_M207,HC_M208,HC_M214,HC_M215,HC_M216,HC_M225,HC_M228,HC_M230,HC_M232,HC_M234,HC_M241,HC_M243,HC_M251,HC_M260,HC_M266,HC_M267,HC_M273,HC_M274,HC_M275,HC_M276
P35858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,24672048","24,86516104","25,68055792","25,04540637","25,48392859","25,67012598","25,36765963","24,99693909","25,03218015","24,87229745","25,46745462","24,92645983","25,21749181","25,43334743","25,58860802","25,45391466","25,47982728","24,47531556","25,21891816","25,74095341","25,13669332","24,76174894","25,38627841","24,9923357"
P60709,,,,,,,,,,,,628976832,601068285,395017634,435741208,639590315,753186790,493799119,385348216,392826763,358623134,1002187199,726186453,433777608,283072621,259005677,237671690,487383153,969383059,366077660,212599288,418722534,345378321,374692148,409055261,232543734,203995988,215257277,124475884,446800334,486373459,520099141,440368873,275719264,392435936,293854040,196632810,238861294,842315243,311036144,630550614,"20,18219922","19,22230045","20,58573255","19,28311038","20,37257808","20,58864183","19,37443655","20,06873887","18,90967989","20,4697564","20,21068153","19,60794819","19,17047768","19,56484415","20,15196875","20,4165237","19,71604943","19,05781071","20,5615076","19,13684879","20,26662187","20,00191498","19,60766608","18,83374825"
Q08380,262059402,"102040140,8","110537299,6","55538147,25","160354817,1","97120956,67","153751262,4","281783450,6","352141068,7","331948846,5","159759085,3",2527503880,2451214137,2933976796,2869549404,2540507140,3259505461,2022513740,1983625241,1815664904,1645547153,1885056084,1506741810,1747809967,1381735369,3079824688,2618810710,2151579975,1705763930,2830787500,1969113554,1310690000,1203301253,3056636101,3208765970,1145483156,1159051358,1332130642,861260566,1606881896,1715930314,1622321154,1671542238,1271335741,966594175,2373638169,1562561739,1953772152,1130389449,2078219218,1329117410,"21,59099414","21,45160542","21,38339711","21,49238419","21,18982462","21,06177339","21,25729227","21,24233826","20,78588097","20,91569763","20,14345632","21,48328246","21,17686441","20,11339407","20,67771866","20,43303277","21,43772366","20,93581243","21,32678591","20,8562374","21,00392804","21,17121355","19,53562485","20,95714264"
Q14508,,,,,,,,,,,,,3408395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WXI7,,,,,,,,,,,,72151822,197122038,,5916227,4941057,22195973,9660676,7712918,4342886,5792550,8459803,8740851,29214977,7870746,9440096,6897991,11919712,4477191,3782355,2231090,3334384,15817078,7297494,6165114,18875272,10260282,2939949,3462202,30665667,21937432,49577981,45067842,,23239638,3726319,14160834,59247808,10841567,,2021041,,,,,,,,,,,,,,,,,,,,,,,,
A0A024QZX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A024R571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6H9,,,23290370,,,3316580,"1877085,375",,4773665,20294060,2491262,,,652856,13905721,757118,,,,,,,,2435295,,,,131948502,90702312,,4628376,10172627,25087939,18463740,36390721,144934692,200788021,3541638,,771089,,7048095,5278709,6492714,7081808,5778081,1966904,45305522,33084908,140915406,114331783,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I0,"322358906,3",62206404,388001304,"84122336,25",,203828271,178737914,91411704,294219072,1577003662,75743849,64578732,147456656,196523656,142435506,303041032,698558048,266654456,364029396,28227582,48039841,328184300,268075876,454341040,392295000,238600808,218297164,578757040,703673760,284855508,213501940,42450853,39016384,,,485786352,559691408,350073288,478757608,446863088,477204128,355141680,295750304,661942040,448285911,327294892,270900004,1042141286,774296515,866700608,910117504,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18968064,,,,,,,,3171650,,,12442664,6279744,24789412,11304568,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6J4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6J9,,,,,,36756112,,,,,,,,,6288848,9570310,12692341,,6524476,,,,12689466,16239232,3712941,23504305,16070254,44393264,49016732,32657230,21419780,22275536,13745497,17081340,11140051,30654414,18062004,,6324389,23859497,13748885,17672894,20842230,22979952,17548236,19691150,24273021,23400774,24961321,17001100,10161728,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6K4,8864512,,,"2490629,25",,"4452833,5",39863672,,18540966,,36359316,,,,,8473135,,8892737,19323876,,,94058872,96878144,40163588,16562852,,7346735,24782276,10675939,,,36518084,45289188,90840928,90634696,15126262,5562994,14875332,,12746311,7101953,25140180,12320151,69230128,47406732,36378716,20540562,61003284,52626588,123723816,71533552,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,58979107",,"18,18676797",,,,,,"17,07768618",,,"17,59758475",,,
A0A075B6L0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6Q5,,,"16314516,5",,3341729,"587200,5625",,14609366,18088797,20753968,,58335709,95801343,8344354,46597744,142761200,152188290,93180784,80244174,13315640,22505592,136016686,106225356,205204632,59274408,34133292,49914465,669219028,396151880,250318108,124008555,204467642,294937140,176634696,344158437,268033478,175378037,56886804,53644999,36397087,54910280,67055694,96900366,238159120,148919479,151398398,95579756,24955448,14321090,230614963,210320237,,,"17,36134506","16,73342806",,,"16,75036086","16,33951792",,"20,14278159","16,8607287","14,56784095","17,76053149","16,97702827",,"16,97379279","18,31983516","17,97603177","18,338298","18,34996033","18,54756288","18,3508671","15,87625335",
A0A075B6R2,,,,,,,,,,,,,297985,,,,,,,,,,1772092,447980,,223116,354180,,,,220029,,404277,,22019866,,5357854,,,,,,178241,,15372129,,1407354,610595,48578748,8747906,,,,,,,,,,,,,,,,"16,15096022",,,,,,,,,
A0A075B6R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6S2,135381424,"4856082,5",14658108,,,"2473507,5",13719331,49398064,"4642515,5",32632164,75587408,15360292,,14949603,4442113,101413320,24403890,,27107820,,3072512,14834346,,90413000,30308376,,6507075,211770464,145116272,54234100,23059890,162043120,62183224,81088142,49044424,36830940,17305312,,2600047,7132107,,23563298,15189526,109568288,102512384,40323836,19428692,166565870,92941192,210602208,196126752,"16,44794387",,"15,93184901","14,04487104",,"13,64710797","16,96541585","18,05173889","16,22956636",,,"18,03449379","18,72361571","17,68134605","16,88983686","16,86004531",,"15,5575918","15,60583854","16,14319962","16,37750158","17,49097453",,
A0A075B6S5,,"5221089,5",,,,"2503700,5",,,,9453937,,10263793,4979721,,,62852278,79900572,,8710478,13112721,12022657,3733375,,18866746,24043686,3231654,5412056,157188216,170980832,59248274,17844416,15365764,7304099,54780241,45646643,18990230,24255700,,8834394,,26485950,40666772,23169605,45517236,55109889,27937456,33538636,135576652,79293040,22292405,32732642,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6S8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WSX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WSX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WSY6,"480939437,8",34161319,"78087502,5","30630209,75",45684474,"88861486,75","120279319,6",231000916,"139689585,5",540604488,"187424607,3",10397704,12181329,,4984771,17381874,18590670,12778155,14919583,8575709,9613598,23032572,20116904,61269836,38785624,16645476,20792052,115462289,131976376,26010542,29882288,50589380,48450220,130029696,107601360,51446684,65402968,14285958,7768334,19751126,17518968,25370126,36255324,23144258,20719952,29264604,18691464,131543314,82569480,42588576,39153048,"17,0617715",,"18,66052652","19,06147161","17,57312883",,"19,65405273","20,09801688","18,35604061","20,30471125","18,73787559","19,8860321","20,59732918","19,22597311","18,4917921","18,94940716","20,90205342","20,06014202","19,76460825","19,40973832","21,4622117","20,8383501","19,48369151","18,46595652"
A0A087WSY8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WT99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WTA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WTK0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WTK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WTM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WTM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WTT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WTX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WU91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WUI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WUL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WUQ6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WUS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WV15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WV17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WVJ0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
